Título,Dominio,Fecha de Brecha,Datos Comprometidos,Verificada,Sensible
Banorte,banorte.com,2014-08-18,"Account balances, Email addresses, Genders, Government issued IDs, Names, Phone numbers, Physical addresses",True,False
Manipulated Caiman,,2023-07-16,Email addresses,True,False
